Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Identifiant mandat,Date d'élection,Date de début de mandat,Année de début de mandat,Motif début de mandat,Date de fin de mandat,Année de fin de mandat,Motif fin de mandat,Commentaire
08020N,Mme,Bruguière,Marie-Thérèse,ANCIEN,51478,,2017-10-01 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Ne se représente pas,"en remplacement de M. François Commeinhes, démissionnaire de son mandat"
19758L,Mme,Brulin,Céline,ACTIF,51591,,2018-06-01 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Fin de mandat,"en remplacement de M. Thierry Foucaud, démissionnaire"
19758L,Mme,Brulin,Céline,ACTIF,51980,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
08007R,M.,Brun,Elie,ANCIEN,11360,,2008-04-19 00:00:00.0,,Remplace,2010-12-13 00:00:00.0,,Cessation de mandat,"En remplacement de M. Hubert Falco, nommé membre du Gouvernement"
000018,M.,Brun,Pierre,ANCIEN,2250,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Election,1976-03-02 00:00:00.0,,Décédé,
58946F,M.,Brun,Raymond,ANCIEN,2252,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-10-01 00:00:00.0,,Fin de mandat,
58946F,M.,Brun,Raymond,ANCIEN,2253,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 1,1971-10-01 00:00:00.0,,Fin de mandat,
58946F,M.,Brun,Raymond,ANCIEN,2254,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Renouvellement 2,1980-10-01 00:00:00.0,,Fin de mandat,
58946F,M.,Brun,Raymond,ANCIEN,2255,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Renouvellement 3,1989-10-01 00:00:00.0,,Ne se représente pas,
000053,M.,Bruneau,André,ANCIEN,2257,,1963-11-22 00:00:00.0,,Remplace,1968-10-01 00:00:00.0,,Ne se représente pas,"En remplacement de M. François de NICOLAY, décédé"
000035,M.,Brunhes,Julien,ANCIEN,2262,,1958-06-08 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000035,M.,Brunhes,Julien,ANCIEN,2263,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1968-10-01 00:00:00.0,,Non réélu,
000049,M.,Bruyas,Florian,ANCIEN,2267,,1958-06-08 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
000049,M.,Bruyas,Florian,ANCIEN,2268,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1968-10-01 00:00:00.0,,Ne se représente pas,
57432D,M.,Bruyneel,Robert,ANCIEN,2271,,1961-10-04 00:00:00.0,,Remplace,1965-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Jacques BOISROND, nommé membre du Gouvernement"
57432D,M.,Bruyneel,Robert,ANCIEN,2272,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement,1974-10-01 00:00:00.0,,Ne se représente pas,
04047H,M.,Buffet,François-Noël,ACTIF,10831,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
04047H,M.,Buffet,François-Noël,ACTIF,14122,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Fin de mandat,
04047H,M.,Buffet,François-Noël,ACTIF,51965,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement 2,,,En Cours,
19782L,M.,Buis,Bernard,ACTIF,51644,,2018-11-17 00:00:00.0,,Remplace,2020-08-06 00:00:00.0,,Reprise mandat d'ancien membre du Gvt,"en remplacement de M. Didier Guillaume, membre du Gouvernement"
19782L,M.,Buis,Bernard,ACTIF,51794,,2020-08-08 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Fin de mandat,"en remplacement de M. Didier Guillaume, démissionnaire de son mandat"
19782L,M.,Buis,Bernard,ACTIF,51876,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
000010,M.,Burgat,Gabriel,ANCIEN,9518,1959-05-31 00:00:00.0,1959-05-31 00:00:00.0,,Election,1962-07-04 00:00:00.0,,Cessation de mandat (1962),
20090E,M.,Burgoa,Laurent,ACTIF,51910,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
000150,M.,Burret,Robert,ANCIEN,2274,,1960-10-24 00:00:00.0,,Remplace,1965-10-01 00:00:00.0,,Non réélu,"En remplacement de M. Antoine BEGUERE, décédé"
59524Q,M.,Cabana,Camille,ANCIEN,2277,,1991-02-10 00:00:00.0,,Election,1995-09-24 00:00:00.0,,Ne se représente pas,
83020K,M.,Cabanel,Guy-Pierre,ANCIEN,109,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83020K,M.,Cabanel,Guy-Pierre,ANCIEN,110,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Ne se représente pas,
14207L,M.,Cabanel,Henri,ACTIF,14105,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14207L,M.,Cabanel,Henri,ACTIF,51945,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
19926J,Mme,Cabaret,Muriel,ANCIEN,51737,,2020-06-26 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Ne se représente pas,"en remplacement de M. Christophe Chaudun, démissionnaire"
58366Q,M.,Cabocel,Rémi,ANCIEN,2279,,1983-07-29 00:00:00.0,,Remplace,1983-10-02 00:00:00.0,,Ne se représente pas,"En remplacement de M. René JAGER, décédé"
20104S,M.,Cadec,Alain,ACTIF,51929,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
14255U,M.,Cadic,Olivier,ACTIF,14268,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2021-09-30 00:00:00.0,,Fin de mandat,
14255U,M.,Cadic,Olivier,ACTIF,52425,2021-09-26 00:00:00.0,2021-10-01 00:00:00.0,,Renouvellement,,,En Cours,
04066L,M.,Caffet,Jean-Pierre,ANCIEN,10894,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04066L,M.,Caffet,Jean-Pierre,ANCIEN,12733,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Ne se représente pas,
58411C,M.,Caillavet,Henri,ANCIEN,2280,,1967-06-11 00:00:00.0,,Remplace,1974-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Jacques BORDENEUVE, élu député"
58411C,M.,Caillavet,Henri,ANCIEN,2281,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement,1983-10-02 00:00:00.0,,Non réélu,
000538,M.,Caiveau,Louis,ANCIEN,2283,,1981-09-10 00:00:00.0,,Remplace,1986-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Lionel de TINGUY du POUET, décédé"
000538,M.,Caiveau,Louis,ANCIEN,2284,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement,1987-02-27 00:00:00.0,,Décédé,
77009C,M.,Caldaguès,Michel,ANCIEN,111,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1986-09-27 00:00:00.0,,Fin de mandat,
77009C,M.,Caldaguès,Michel,ANCIEN,112,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 1,1995-10-01 00:00:00.0,,Fin de mandat,
77009C,M.,Caldaguès,Michel,ANCIEN,113,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Renouvellement 2,2002-09-30 00:00:00.0,,Démissionnaire,
86014A,M.,Calméjane,Robert,ANCIEN,114,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Fin de mandat,
86014A,M.,Calméjane,Robert,ANCIEN,115,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Renouvellement 1,2002-12-10 00:00:00.0,2002,Décédé,
000735,M.,Calmels,Gabriel,ANCIEN,5380,,1976-09-28 00:00:00.0,,Remplace,1979-09-03 00:00:00.0,,Décédé,"En remplacement de M. Pierre BROUSSE, nommé membre du Gouvernement"
11101A,M.,Calvet,François,ACTIF,12659,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Fin de mandat,
11101A,M.,Calvet,François,ACTIF,51074,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement 1,,,En Cours,
11095V,M.,Camani,Pierre,ANCIEN,12618,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
04042C,M.,Cambon,Christian,ACTIF,10806,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04042C,M.,Cambon,Christian,ACTIF,12752,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Fin de mandat,
04042C,M.,Cambon,Christian,ACTIF,51191,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement 2,,,En Cours,
89024Q,M.,Camoin,Jean-Pierre,ANCIEN,116,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Ne se représente pas,
00003C,Mme,Campion,Claire-Lise,ANCIEN,5867,,2000-04-28 00:00:00.0,,Remplace,2004-09-30 00:00:00.0,,Fin de mandat,"En remplacement de M. Jean-Luc Mélenchon, nommé membre du Gouvernement "
00003C,Mme,Campion,Claire-Lise,ANCIEN,10835,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Fin de mandat,
00003C,Mme,Campion,Claire-Lise,ANCIEN,12592,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 2,2017-10-01 00:00:00.0,,Non réélu,
14053L,Mme,Canayer,Agnès,ACTIF,14233,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14053L,Mme,Canayer,Agnès,ACTIF,51978,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
14083S,M.,Canévet,Michel,ACTIF,14102,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14083S,M.,Canévet,Michel,ACTIF,51930,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
77002U,M.,Cantegrit,Jean-Pierre,ANCIEN,117,,1977-03-04 00:00:00.0,,Remplace,1983-10-02 00:00:00.0,,Fin de mandat,"En remplacement de M. Louis GROS, nommé membre du Conseil Constitutionnel"
77002U,M.,Cantegrit,Jean-Pierre,ANCIEN,118,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 1,1992-09-26 00:00:00.0,,Fin de mandat,
77002U,M.,Cantegrit,Jean-Pierre,ANCIEN,119,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 2,2001-09-30 00:00:00.0,,Fin de mandat,
77002U,M.,Cantegrit,Jean-Pierre,ANCIEN,6453,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 3,2011-09-30 00:00:00.0,,Fin de mandat,
77002U,M.,Cantegrit,Jean-Pierre,ANCIEN,12680,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 4,2017-10-01 00:00:00.0,,Ne se représente pas,
000755,M.,Capelle,Omer,ANCIEN,5384,,1958-06-08 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000755,M.,Capelle,Omer,ANCIEN,5385,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1966-05-26 00:00:00.0,,Décédé,
11053K,M.,Capo-Canellas,Vincent,ACTIF,12749,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Fin de mandat,
11053K,M.,Capo-Canellas,Vincent,ACTIF,51209,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement,,,En Cours,
19545Y,M.,Capus,Emmanuel,ACTIF,51106,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
59525R,M.,Carat,Jacques,ANCIEN,2286,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Election,1977-10-02 00:00:00.0,,Fin de mandat,
59525R,M.,Carat,Jacques,ANCIEN,2287,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Renouvellement 1,1986-10-01 00:00:00.0,,Fin de mandat,
59525R,M.,Carat,Jacques,ANCIEN,2288,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 2,1995-10-01 00:00:00.0,,Ne se représente pas,
000076,M.,Carcassonne,Roger,ANCIEN,2292,,1955-06-19 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000076,M.,Carcassonne,Roger,ANCIEN,2293,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1962-10-01 00:00:00.0,,Fin de mandat,
000076,M.,Carcassonne,Roger,ANCIEN,2294,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1971-10-01 00:00:00.0,,Ne se représente pas,
14085U,M.,Carcenac,Thierry,ANCIEN,14296,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Ne se représente pas,
19914E,M.,Cardenes,Stéphane,ANCIEN,51730,,2020-06-18 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Non réélu,"en remplacement de Mme Pascale Bories, démissionnaire de son mandat"
20060X,M.,Cardon,Rémi,ACTIF,51877,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
000722,Mme,Cardot,Marie-Hélène,ANCIEN,5389,,1955-06-19 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000722,Mme,Cardot,Marie-Hélène,ANCIEN,5390,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1962-10-01 00:00:00.0,,Fin de mandat,
000722,Mme,Cardot,Marie-Hélène,ANCIEN,5391,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 4,1971-10-01 00:00:00.0,,Ne se représente pas,
11103C,M.,Cardoux,Jean-Noël,ACTIF,12646,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Fin de mandat,
11103C,M.,Cardoux,Jean-Noël,ACTIF,51140,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement 1,,,En Cours,
95015C,M.,Carle,Jean-Claude,ANCIEN,120,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95015C,M.,Carle,Jean-Claude,ANCIEN,10757,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Fin de mandat,
95015C,M.,Carle,Jean-Claude,ANCIEN,14186,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement 2,2018-08-06 00:00:00.0,,Démissionnaire,
12028B,Mme,Carlotti,Marie-Arlette,ACTIF,51941,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
59526S,M.,Caron,Paul,ANCIEN,2297,,1973-04-02 00:00:00.0,,Remplace,1977-10-02 00:00:00.0,,Non réélu,"En remplacement de M. Jean LECANUET, élu député"
59526S,M.,Caron,Paul,ANCIEN,2299,,1986-04-02 00:00:00.0,,Remplace,1986-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Jean LECANUET, élu député"
59526S,M.,Caron,Paul,ANCIEN,2300,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 1,1995-10-01 00:00:00.0,,Ne se représente pas,
000326,M.,Carous,Pierre,ANCIEN,2302,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Election,1974-10-01 00:00:00.0,,Fin de mandat,
000326,M.,Carous,Pierre,ANCIEN,2303,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement 1,1983-10-02 00:00:00.0,,Fin de mandat,
000326,M.,Carous,Pierre,ANCIEN,2304,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 2,1990-01-14 00:00:00.0,,Décédé,
92015P,M.,Carrère,Jean-Louis,ANCIEN,121,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Fin de mandat,
92015P,M.,Carrère,Jean-Louis,ANCIEN,6364,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Fin de mandat,
92015P,M.,Carrère,Jean-Louis,ANCIEN,12437,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 2,2017-10-01 00:00:00.0,,Ne se représente pas,
19629C,Mme,Carrère,Maryse,ACTIF,51068,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
000003,M.,Carrier,Maurice,ANCIEN,2306,1959-05-05 00:00:00.0,1959-05-05 00:00:00.0,,Election,1965-10-01 00:00:00.0,,Fin de mandat,
000003,M.,Carrier,Maurice,ANCIEN,2307,1965-10-02 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement,1974-10-01 00:00:00.0,,Ne se représente pas,
59569E,M.,Cartigny,Ernest,ANCIEN,2310,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Non réélu,
59569E,M.,Cartigny,Ernest,ANCIEN,6777,,2002-12-11 00:00:00.0,,Remplace,2004-09-30 00:00:00.0,,Ne se représente pas,"En remplacement de M. Robert Calméjane, décédé."
08024S,Mme,Cartron,Françoise,ANCIEN,11571,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
08024S,Mme,Cartron,Françoise,ANCIEN,14213,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Non réélu,
11032E,M.,Carvounas,Luc,ANCIEN,12742,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-07-28 00:00:00.0,,Élu député,
89008Q,M.,Castaing,Robert,ANCIEN,122,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Election,1998-09-30 00:00:00.0,,Non réélu,
14201E,M.,Castelli,Joseph,ANCIEN,14284,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Ne se représente pas,
58936D,M.,Castex,Marc,ANCIEN,2312,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Election,1989-10-01 00:00:00.0,,Ne se représente pas,
000350,M.,Cathala,Charles,ANCIEN,2314,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Election,1977-10-02 00:00:00.0,,Non réélu,
000327,M.,Cauchon,Jean,ANCIEN,2320,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1980-10-01 00:00:00.0,,Fin de mandat,
000327,M.,Cauchon,Jean,ANCIEN,2321,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Renouvellement,1989-10-01 00:00:00.0,,Ne se représente pas,
000510,M.,Caupert,Joseph,ANCIEN,2325,,1985-05-28 00:00:00.0,,Remplace,1992-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Jules ROUJON, décédé"
000510,M.,Caupert,Joseph,ANCIEN,2326,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,1994-09-09 00:00:00.0,,Décédé,
58202U,M.,Cavaillé,Marcel,ANCIEN,2328,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1974-07-09 00:00:00.0,,Membre Gouvernement,
92046W,M.,Cavalier-Benezet,Francis,ANCIEN,123,1992-12-20 00:00:00.0,1992-12-21 00:00:00.0,,Remplace,1998-09-30 00:00:00.0,,Ne se représente pas,"En remplacement de M. Gilbert Baumet, nommé membre du Gouvernement"
11044J,Mme,Cayeux,Caroline,ANCIEN,12694,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
59601L,M.,Cayrel,Raymond,ANCIEN,2330,,1993-05-01 00:00:00.0,,Remplace,1995-11-09 00:00:00.0,,Démissionnaire,"En remplacement de M. Jean Puech, nommé membre du Gouvernement"
19721W,M.,Cazabonne,Alain,ACTIF,51456,,2017-10-01 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Fin de mandat,"en remplacement de Mme Marie-Hélène Des Esgaulx, démissionnaire de son mandat"
19721W,M.,Cazabonne,Alain,ACTIF,51976,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
83021L,M.,Cazalet,Auguste,ANCIEN,124,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83021L,M.,Cazalet,Auguste,ANCIEN,125,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Fin de mandat,
83021L,M.,Cazalet,Auguste,ANCIEN,6425,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 2,2011-09-30 00:00:00.0,,Ne se représente pas,
98029W,M.,Cazeau,Bernard,ANCIEN,5117,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
98029W,M.,Cazeau,Bernard,ANCIEN,11510,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Fin de mandat,
98029W,M.,Cazeau,Bernard,ANCIEN,14261,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Ne se représente pas,
19057M,Mme,Cazebonne,Samantha,ACTIF,52428,2021-09-26 00:00:00.0,2021-10-01 00:00:00.0,,Election,,,En Cours,
58657Y,M.,Ceccaldi-Pavard,Pierre,ANCIEN,2332,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1986-10-01 00:00:00.0,,Non réélu,
95016D,M.,Ceccaldi-Raynaud,Charles,ANCIEN,126,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Ne se représente pas,
92008Q,Mme,Cerisier-ben Guiga,Monique,ANCIEN,127,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Fin de mandat,
92008Q,Mme,Cerisier-ben Guiga,Monique,ANCIEN,6454,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Ne se représente pas,
90003B,M.,César,Gérard,ANCIEN,128,,1990-06-15 00:00:00.0,,Remplace,1998-09-30 00:00:00.0,,Fin de mandat,"En remplacement de M. Jean-François Pintat, décédé"
90003B,M.,César,Gérard,ANCIEN,5079,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Renouvellement 1,2008-09-30 00:00:00.0,,Fin de mandat,
90003B,M.,César,Gérard,ANCIEN,11559,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 2,2014-09-30 00:00:00.0,,Fin de mandat,
90003B,M.,César,Gérard,ANCIEN,14212,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement 3,2017-09-30 00:00:00.0,,Démissionnaire,
000257,M.,Chabaraka,Ahmed,ANCIEN,9521,,1961-07-19 00:00:00.0,,Remplace,1962-07-04 00:00:00.0,,Cessation de mandat (1962),En remplacement de M. Benaissa SASSI
95017E,M.,Chabroux,Gilbert,ANCIEN,129,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Ne se représente pas,
14329V,Mme,Chain-Larché,Anne,ACTIF,15242,,2015-10-12 00:00:00.0,,Remplace,2017-10-01 00:00:00.0,,Fin de mandat,"en remplacement de M. Jean-Jacques Hyest, nommé membre du Conseil Constitutionnel"
14329V,Mme,Chain-Larché,Anne,ACTIF,51120,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement,,,En Cours,
14038Y,M.,Chaize,Patrick,ACTIF,14152,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14038Y,M.,Chaize,Patrick,ACTIF,51919,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
59571X,M.,Chamant,Jean,ANCIEN,2334,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1986-10-01 00:00:00.0,,Fin de mandat,
59571X,M.,Chamant,Jean,ANCIEN,2335,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 1,1995-10-01 00:00:00.0,,Non réélu,
000111,M.,Chambaretaud,Léon,ANCIEN,2337,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Election,1974-08-26 00:00:00.0,,Décédé,
83022M,M.,Chambriard,Jean-Paul,ANCIEN,2339,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83022M,M.,Chambriard,Jean-Paul,ANCIEN,2340,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,1996-01-24 00:00:00.0,,Décédé,
000061,M.,Champeix,Marcel,ANCIEN,2344,,1955-06-19 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000061,M.,Champeix,Marcel,ANCIEN,2345,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1962-10-01 00:00:00.0,,Fin de mandat,
000061,M.,Champeix,Marcel,ANCIEN,2346,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1971-10-01 00:00:00.0,,Fin de mandat,
000061,M.,Champeix,Marcel,ANCIEN,2347,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Renouvellement,1980-10-01 00:00:00.0,,Non réélu,
000038,M.,Champleboux,Michel,ANCIEN,2351,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 1,1965-10-01 00:00:00.0,,Fin de mandat,
000038,M.,Champleboux,Michel,ANCIEN,2352,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 2,1967-03-08 00:00:00.0,,Décédé,
20264J,M.,Chantrel,Yan,ACTIF,52429,2021-09-26 00:00:00.0,2021-10-01 00:00:00.0,,Election,,,En Cours,
81015E,M.,Charasse,Michel,ANCIEN,130,,1981-10-28 00:00:00.0,,Remplace,1983-10-02 00:00:00.0,,Fin de mandat,"En remplacement de M. Roger QUILLIOT, nommé membre du Gouvernement"
81015E,M.,Charasse,Michel,ANCIEN,131,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 1,1988-07-27 00:00:00.0,,Membre Gouvernement,
81015E,M.,Charasse,Michel,ANCIEN,133,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Fin de mandat,
